stop_id,stop_type_id,stop_type_name,start_at,ends_at,duration_minutes
05676a6d-a940-4743-bc23-5180479adb54,77322f6a-0ed2-4946-809e-654d9badb16c,Product Dimension Check,2025-01-01T01:12:00,2025-01-01T01:26:43.509053,14.7
cfe2ce82-ee04-4333-8d74-f503aea05a59,f1024d23-09ec-46e6-8cbd-e026c6c19294,Material Contamination,2025-01-01T02:20:00,2025-01-01T03:08:37.475933,48.6
46737a35-87f7-4680-aaed-be7ac1cdb91a,9827a7b1-16df-4eb5-b1ab-8f3d77d031a7,Die Head Cleaning,2025-01-01T04:23:00,2025-01-01T05:12:00.738446,49.0
9f4b68f2-b295-43b4-a966-a5796d087f6b,a759c756-9ed0-4a00-8c9f-79f3b4bf4c0a,Temperature Zone Deviation,2025-01-01T05:13:00,2025-01-01T05:28:54.837415,15.9
8e14629d-5484-40c4-82a6-9849837c62d6,9827a7b1-16df-4eb5-b1ab-8f3d77d031a7,Die Head Cleaning,2025-01-01T07:30:00,2025-01-01T07:32:07.154818,2.1
8d37a194-bf81-41ee-bd46-fcb69ca4f789,77322f6a-0ed2-4946-809e-654d9badb16c,Product Dimension Check,2025-01-01T08:45:00,2025-01-01T08:46:08.922440,1.1
2c3c0a09-ba93-4219-89a6-458be4c8e7cf,44d3afce-8bc3-4269-9c1b-f630aedb9668,Quality Sample Check,2025-01-01T09:33:00,2025-01-01T09:33:34.770259,0.6
ae39c191-2a98-44f5-b61b-d02cc3b6f531,77322f6a-0ed2-4946-809e-654d9badb16c,Product Dimension Check,2025-01-01T09:45:00,2025-01-01T09:45:31.765679,0.5
8b7f4a5d-5489-4ed6-aa13-f05363756055,44d3afce-8bc3-4269-9c1b-f630aedb9668,Quality Sample Check,2025-01-01T11:16:00,2025-01-01T11:24:54.838425,8.9
98870be9-727b-4bdb-9a79-f855a3986449,44d3afce-8bc3-4269-9c1b-f630aedb9668,Quality Sample Check,2025-01-01T15:40:00,2025-01-01T15:45:04.666857,5.1
86d485c2-3298-4451-86fb-461b0e559e38,c1f0d60c-27ef-4c46-8c07-6977c0123e23,Hopper Level Warning,2025-01-01T16:02:00,2025-01-01T16:03:34.108147,1.6
7725ca58-a207-42f4-b2b6-16f0c6ad48d4,855df54a-6b6e-4b9e-b595-e9bd19316236,Material Feed Jam,2025-01-01T16:59:00,2025-01-01T17:02:29.745252,3.5
5eec8452-6b9c-49b2-bc31-8c09f61eb516,9827a7b1-16df-4eb5-b1ab-8f3d77d031a7,Die Head Cleaning,2025-01-01T17:47:00,2025-01-01T19:30:37.483128,103.6
baec97fe-874a-4dd9-aa44-6038f0dfaba9,44d3afce-8bc3-4269-9c1b-f630aedb9668,Quality Sample Check,2025-01-01T23:11:00,2025-01-01T23:20:35.717697,9.6
662bbc00-b489-43b8-9e93-94d673e97904,855df54a-6b6e-4b9e-b595-e9bd19316236,Material Feed Jam,2025-01-02T00:54:00,2025-01-02T01:01:28.553247,7.5
